,city,lat,lon,country,iso3,population
0,Tokyo,35.6897,139.6922,Japan,JPN,37977000.0
1,Jakarta,-6.2146,106.8451,Indonesia,IDN,34540000.0
4,Manila,14.5958,120.9772,Philippines,PHL,23088000.0
7,Seoul,37.5833,127.0,"Korea, South",KOR,21794000.0
8,Mexico City,19.4333,-99.1333,Mexico,MEX,20996000.0
10,Beijing,39.905,116.3914,China,CHN,19433000.0
11,Cairo,30.0561,31.2394,Egypt,EGY,19372000.0
14,Moscow,55.7558,37.6178,Russia,RUS,17125000.0
15,Bangkok,13.75,100.5167,Thailand,THA,17066000.0
16,Buenos Aires,-34.5997,-58.3819,Argentina,ARG,16157000.0
18,Dhaka,23.7161,90.3961,Bangladesh,BGD,15443000.0
24,Tehran,35.7,51.4167,Iran,IRN,13633000.0
25,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),COD,13528000.0
33,Paris,48.8566,2.3522,France,FRA,11020000.0
34,London,51.5072,-0.1275,United Kingdom,GBR,10979000.0
40,Lima,-12.05,-77.0333,Peru,PER,9848000.0
42,Bogotá,4.6126,-74.0705,Colombia,COL,9464000.0
51,Luanda,-8.8383,13.2344,Angola,AGO,8417000.0
53,Kuala Lumpur,3.1478,101.6953,Malaysia,MYS,8285000.0
56,Hanoi,21.0245,105.8412,Vietnam,VNM,7785000.0
67,Khartoum,15.6031,32.5265,Sudan,SDN,7282000.0
78,Santiago,-33.45,-70.6667,Chile,CHL,7007000.0
81,Riyadh,24.65,46.71,Saudi Arabia,SAU,6881000.0
83,Dar es Salaam,-6.8,39.2833,Tanzania,TZA,6698000.0
104,Baghdad,33.35,44.4167,Iraq,IRQ,5796000.0
106,Singapore,1.3,103.8,Singapore,SGP,5745000.0
113,Nairobi,-1.2864,36.8172,Kenya,KEN,5545000.0
115,Ankara,39.93,32.85,Turkey,TUR,5503985.0
121,Rangoon,16.8,96.15,Burma,MMR,5430000.0
124,Washington,38.9047,-77.0163,United States,USA,5379184.0
146,Abidjan,5.3364,-4.0267,Côte D’Ivoire,CIV,4980000.0
197,Amman,31.95,35.9333,Jordan,JOR,4007526.0
213,Kabul,34.5328,69.1658,Afghanistan,AFG,3678034.0
215,Berlin,52.5167,13.3833,Germany,DEU,3644826.0
229,Algiers,36.7764,3.0586,Algeria,DZA,3415811.0
238,Madrid,40.4189,-3.6919,Spain,ESP,3266126.0
255,Addis Ababa,9.0272,38.7369,Ethiopia,ETH,3041002.0
258,Brasília,-15.7744,-48.0773,Brazil,BRA,3015268.0
265,Kyiv,50.45,30.5236,Ukraine,UKR,2967000.0
266,Sanaa,15.35,44.2,Yemen,YEM,2957000.0
280,Rome,41.8931,12.4828,Italy,ITA,2872800.0
281,La Paz,-16.4942,-68.1475,Bolivia,BOL,2867504.0
282,Pyongyang,39.03,125.73,"Korea, North",PRK,2863000.0
297,Taipei,25.0478,121.5319,Taiwan,TWN,2684567.0
303,Antananarivo,-18.9386,47.5214,Madagascar,MDG,2610000.0
307,Santo Domingo,18.4764,-69.8933,Dominican Republic,DOM,2581827.0
322,Guatemala City,14.6099,-90.5252,Guatemala,GTM,2450212.0
323,Yaoundé,3.8578,11.5181,Cameroon,CMR,2440462.0
329,Tashkent,41.3,69.2667,Uzbekistan,UZB,2424100.0
341,Accra,5.6037,-0.187,Ghana,GHA,2291352.0
357,Baku,40.3667,49.8352,Azerbaijan,AZE,2181800.0
362,Havana,23.1367,-82.3589,Cuba,CUB,2141652.0
363,Phnom Penh,11.5696,104.921,Cambodia,KHM,2129371.0
365,Mogadishu,2.0408,45.3425,Somalia,SOM,2120000.0
384,Minsk,53.9022,27.5618,Belarus,BLR,2020600.0
386,Bamako,12.6458,-7.9922,Mali,MLI,2009109.0
387,Quito,-0.2186,-78.5097,Ecuador,ECU,2011388.0
395,Caracas,10.5,-66.9333,Venezuela,VEN,1943901.0
401,Bucharest,44.4,26.0833,Romania,ROU,1883425.0
406,Asunción,-25.3,-57.6333,Paraguay,PRY,1870000.0
408,Vienna,48.2083,16.3731,Austria,AUT,1840573.0
412,Brazzaville,-4.2667,15.2833,Congo (Brazzaville),COG,1827000.0
422,Warsaw,52.2167,21.0333,Poland,POL,1790658.0
425,Damascus,33.5131,36.2919,Syria,SYR,1754000.0
429,Budapest,47.4983,19.0408,Hungary,HUN,1752286.0
431,Lusaka,-15.4167,28.2833,Zambia,ZMB,1742979.0
443,Conakry,9.5092,-13.7122,Guinea,GIN,1667864.0
444,Kampala,0.3136,32.5811,Uganda,UGA,1659600.0
454,Rabat,34.0253,-6.8361,Morocco,MAR,1628000.0
455,Ouagadougou,12.3572,-1.5353,Burkina Faso,BFA,1626950.0
462,Harare,-17.8292,31.0522,Zimbabwe,ZWE,1606000.0
516,Muscat,23.6139,58.5922,Oman,OMN,1421409.0
520,The Hague,52.08,4.27,Netherlands,NLD,1406000.0
524,Ulaanbaatar,47.9203,106.9172,Mongolia,MNG,1396288.0
529,Belgrade,44.8167,20.4667,Serbia,SRB,1378682.0
